community_area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Albany Park,Grocery Store,Mexican Restaurant,Park,Taco Place,Bakery,Karaoke Bar,Chinese Restaurant,Korean Restaurant,Fast Food Restaurant,Ethiopian Restaurant
Archer Heights,Food,Mexican Restaurant,Bar,Bakery,Seafood Restaurant,Yoga Studio,Eye Doctor,Flower Shop,Floating Market,Fish Market
Armour Square,Baseball Stadium,Bar,Lounge,Sports Bar,Clothing Store,Park,Train Station,Bakery,American Restaurant,Whisky Bar
Ashburn,Cosmetics Shop,Automotive Shop,Martial Arts School,Snack Place,Light Rail Station,Bar,Bus Station,Nightclub,Diner,Discount Store
Auburn Gresham,Fast Food Restaurant,Grocery Store,Nightclub,Locksmith,Basketball Court,Park,Gas Station,American Restaurant,Pharmacy,Currency Exchange
Austin,Hot Dog Joint,Convenience Store,Bar,Discount Store,Ethiopian Restaurant,Food,Flower Shop,Floating Market,Fish Market,Fish & Chips Shop
Avalon Park,Fast Food Restaurant,Hot Dog Joint,Diner,Supermarket,Burger Joint,Locksmith,Bank,Food,Discount Store,Cajun / Creole Restaurant
Avondale,Food Truck,Chinese Restaurant,Hot Dog Joint,Rental Car Location,Fast Food Restaurant,Soccer Field,Electronics Store,Bus Line,Bus Station,Donut Shop
Belmont Cragin,Theater,Mobile Phone Shop,Currency Exchange,Pharmacy,Field,Department Store,Mexican Restaurant,Yoga Studio,Floating Market,Fish Market
Beverly,Sandwich Place,Hot Dog Joint,Gas Station,Pizza Place,Hobby Shop,Pharmacy,Currency Exchange,Deli / Bodega,Chinese Restaurant,Fast Food Restaurant
Bridgeport,Chinese Restaurant,Pizza Place,Bar,Pharmacy,Coffee Shop,Art Gallery,Mobile Phone Shop,Mexican Restaurant,Grocery Store,Park
