community_area,zip_codes,population,latitude,longitude,community_area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
Rogers Park,"60626, 60645",54402,42.0100°N,87.6700°W,Rogers Park,16.4,62.0,11.0,73.0,11.2,40.8,7.7,23.3,176.9,25.3,77.1,5.2,6.4,36.7,21.7,33.7,423.3,11.4,22.7,7.9,28.8,18.1,23714,7.5
West Ridge,"60645, 60659",77212,42.000°N,87.6900°W,West Ridge,17.3,83.3,8.1,71.1,8.3,29.9,5.8,20.2,155.9,17.3,60.5,3.7,5.1,36.0,14.2,34.7,205.7,8.9,15.1,7.0,38.3,19.6,21375,7.9
Uptown,"60613, 60640",58424,41.9700°N,87.6600°W,Uptown,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80.0,4.6,6.5,50.5,25.2,41.7,468.7,13.6,22.7,4.6,22.2,13.6,32355,7.7
Lincoln Square,"60625, 60640","41,713",41.9700°N,87.6900°W,Lincoln Square,17.1,61.0,8.1,80.5,9.7,38.4,5.0,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,195.5,8.5,9.5,3.1,25.6,12.5,35503,6.8
North Center,"60613, 60618, 60657",35705,41.950°N,87.6800°W,North Center,22.4,76.2,9.1,80.4,9.8,8.4,1.0,16.6,152.1,26.1,49.8,1.0,2.7,42.4,15.1,41.6,188.6,1.9,7.1,0.2,25.5,5.4,51615,4.5
Lakeview,"60613, 60657",100547,41.94350°N,87.65417°W,Lake View,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13.0,38.5,1.8,2.2,32.5,17.0,24.4,357.6,3.2,10.5,1.2,16.5,2.9,58227,4.7
Lincoln Park,60614,"68,697",41.9200°N,87.650°W,Lincoln Park,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40.0,27.3,35.3,93.1,1.2,11.8,0.6,20.4,4.3,71403,4.5
Near North Side,"60611, 60610,, 60654, 60642",89995,41.900°N,87.6300°W,Near North Side,10.7,35.9,8.6,69.7,9.6,34.0,3.7,24.0,142.7,15.1,27.0,3.2,6.5,33.6,15.1,22.0,235.8,5.5,13.4,2.0,23.3,3.4,87163,5.2
Edison Park,60631,"11,208",42.0100°N,87.8100°W,Edison Park,11.3,59.5,7.9,86.6,12.6,3.9,0.0,13.8,189.7,15.1,53.0,7.1,4.6,45.2,28.0,38.9,.,1.8,5.1,0.6,36.6,8.5,38337,7.4
Norwood Park,"60631, 60646, 60656",36651,41.9800°N,87.8000°W,Norwood Park,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,.,1.6,5.9,2.3,40.6,13.5,31659,7.3
