community_area,area_latitude,area_longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
Rogers Park,42.0100,87.6700,Morse Fresh Market,42.008086562847986,-87.66704093235545,Grocery Store
Rogers Park,42.0100,87.6700,The Common Cup,42.00779721534203,-87.6679009525727,Coffee Shop
Rogers Park,42.0100,87.6700,El Famous Burrito,42.01042128720865,-87.67420436237607,Mexican Restaurant
Rogers Park,42.0100,87.6700,Smack Dab,42.00929092917184,-87.66620111404463,Bakery
Rogers Park,42.0100,87.6700,Glenwood Sunday Market,42.00852528781693,-87.66625066859307,Farmers Market
Rogers Park,42.0100,87.6700,Rogers Park Social,42.0073603073387,-87.66626485580036,Bar
Rogers Park,42.0100,87.6700,Lifeline Theatre,42.007372355621,-87.66628355736664,Theater
Rogers Park,42.0100,87.6700,Taqueria & Restaurant Cd. Hidalgo,42.01163396270487,-87.6744841129449,Mexican Restaurant
Rogers Park,42.0100,87.6700,The Glenwood,42.00850235558669,-87.66627315503519,Bar
Rogers Park,42.0100,87.6700,Rogers Park Provisions,42.0075280787486,-87.66619255417628,Gift Shop
Rogers Park,42.0100,87.6700,Mayne Stage,42.00797479563167,-87.66513999294418,Concert Hall
Rogers Park,42.0100,87.6700,J.B. Alberto's Pizza,42.007940574322475,-87.66506611131022,Pizza Place
Rogers Park,42.0100,87.6700,Bark Place,42.01008029950695,-87.67522292839932,Pet Store
Rogers Park,42.0100,87.6700,Noon Hour Grill,42.00754556105003,-87.66621873343492,Diner
Rogers Park,42.0100,87.6700,Panaderia Ayutla,42.008404999999996,-87.673536,Bakery
Rogers Park,42.0100,87.6700,Fareast Kitchen,42.008542627523816,-87.66622569939332,Asian Restaurant
Rogers Park,42.0100,87.6700,Romanian Kosher Sausage Co.,42.0127647504826,-87.67469195207636,Deli / Bodega
Rogers Park,42.0100,87.6700,Nueva Italy Pizzeria,42.011629,-87.674205,Pizza Place
Rogers Park,42.0100,87.6700,Tamales Lo Mejor De Guerrero,42.009784142479454,-87.67418601954662,Mexican Restaurant
Rogers Park,42.0100,87.6700,A & T Pancake House and Grill,42.00996902112793,-87.67444163558196,American Restaurant
Rogers Park,42.0100,87.6700,Hira's Cafe,42.00793586916296,-87.66671834162916,Sushi Restaurant
Rogers Park,42.0100,87.6700,Morse Gyros & Chicken,42.007862618352576,-87.66517779019013,Greek Restaurant
Rogers Park,42.0100,87.6700,Subway,42.00913773161189,-87.67378568915106,Sandwich Place
Rogers Park,42.0100,87.6700,China Spring,42.009110740367554,-87.67396541050928,Chinese Restaurant
Rogers Park,42.0100,87.6700,China Hut,42.011516339244466,-87.67449930584108,Chinese Restaurant
Rogers Park,42.0100,87.6700,Sub Brothers,42.007885949071785,-87.66648867617852,American Restaurant
Rogers Park,42.0100,87.6700,Heartland Studio,42.009582938359124,-87.66622838845129,Theater
Rogers Park,42.0100,87.6700,Red Line Tap,42.00947765526058,-87.66623970786107,Dive Bar
Rogers Park,42.0100,87.6700,Dunkin',42.00778315926059,-87.66582811489538,Donut Shop
Rogers Park,42.0100,87.6700,Rogue Fusion,42.009878,-87.673874,Breakfast Spot
Rogers Park,42.0100,87.6700,Little Caesars Pizza,42.00911596761948,-87.67379503490245,Pizza Place
Rogers Park,42.0100,87.6700,Taqueria Los Portales,42.00795945592219,-87.66669062539088,Mexican Restaurant
Rogers Park,42.0100,87.6700,El Rey Del Taco,42.012568060090274,-87.67496691077419,Mexican Restaurant
Rogers Park,42.0100,87.6700,CTA - Morse,42.00808927606749,-87.66598515800713,Train Station
Rogers Park,42.0100,87.6700,Rogers Park / West Ridge Historical Society,42.007834099060474,-87.66782280319724,History Museum
Rogers Park,42.0100,87.6700,Neighborhood Market,42.00907872388556,-87.66627619985421,Convenience Store
